ID	Gene Name	Species
ZBED5-AS1	ZBED5 antisense RNA 1(ZBED5-AS1)	Homo sapiens	
ZNF667-AS1	ZNF667 antisense RNA 1 (head to head)(ZNF667-AS1)	Homo sapiens	
ZRANB2-AS2	ZRANB2 antisense RNA 2 (head to head)(ZRANB2-AS2)	Homo sapiens	
AP1B1P1	adaptor related protein complex 1 beta 1 subunit pseudogene 1(AP1B1P1)	Homo sapiens	
ADCY10P1	adenylate cyclase 10, soluble pseudogene 1(ADCY10P1)	Homo sapiens	
AOX2P	aldehyde oxidase 2 pseudogene(AOX2P)	Homo sapiens	
LOC100506747	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein LOC641515 homolog(LOC100506747)	Homo sapiens	
ANTXRLP1	anthrax toxin receptor-like pseudogene 1(ANTXRLP1)	Homo sapiens	
CASC15	cancer susceptibility candidate 15 (non-protein coding)(CASC15)	Homo sapiens	
CASC16	cancer susceptibility candidate 16 (non-protein coding)(CASC16)	Homo sapiens	
CASC18	cancer susceptibility candidate 18 (non-protein coding)(CASC18)	Homo sapiens	
CASC20	cancer susceptibility candidate 20 (non-protein coding)(CASC20)	Homo sapiens	
CASC8	cancer susceptibility candidate 8 (non-protein coding)(CASC8)	Homo sapiens	
CASC9	cancer susceptibility candidate 9 (non-protein coding)(CASC9)	Homo sapiens	
CES1P2	carboxylesterase 1 pseudogene 2(CES1P2)	Homo sapiens	
LOC729930	chromosome 11 open reading frame 74 pseudogene(LOC729930)	Homo sapiens	
C12orf80	chromosome 12 open reading frame 80(C12orf80)	Homo sapiens	
C18orf63	chromosome 18 open reading frame 63(C18orf63)	Homo sapiens	
C20orf78	chromosome 20 open reading frame 78(C20orf78)	Homo sapiens	
C3orf14	chromosome 3 open reading frame 14(C3orf14)	Homo sapiens	
LOC389705	chromosome 4 open reading frame 27 pseudogene(LOC389705)	Homo sapiens	
C7orf76	chromosome 7 open reading frame 76(C7orf76)	Homo sapiens	
C8orf87	chromosome 8 open reading frame 87(C8orf87)	Homo sapiens	
LOC728024	chromosome X open reading frame 56 pseudogene(LOC728024)	Homo sapiens	
CCDC59	coiled-coil domain containing 59(CCDC59)	Homo sapiens	
CAHM	colon adenocarcinoma hypermethylated (non-protein coding)(CAHM)	Homo sapiens	
CCAT1	colon cancer associated transcript 1 (non-protein coding)(CCAT1)	Homo sapiens	
CCAT2	colon cancer associated transcript 2 (non-protein coding)(CCAT2)	Homo sapiens	
CRNDE	colorectal neoplasia differentially expressed (non-protein coding)(CRNDE)	Homo sapiens	
LOC100129055	cyclin Y like 1 pseudogene(LOC100129055)	Homo sapiens	
DANCR	differentiation antagonizing non-protein coding RNA(DANCR)	Homo sapiens	
EEF1DP3	eukaryotic translation elongation factor 1 delta pseudogene 3(EEF1DP3)	Homo sapiens	
FAM200B	family with sequence similarity 200 member B(FAM200B)	Homo sapiens	
FAM225A	family with sequence similarity 225 member A (non-protein coding)(FAM225A)	Homo sapiens	
LOC100128164	four and a half LIM domains 1 pseudogene(LOC100128164)	Homo sapiens	
GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4(GEMIN8P4)	Homo sapiens	
GUSBP10	glucuronidase, beta pseudogene 10(GUSBP10)	Homo sapiens	
GUCY2GP	guanylate cyclase 2G, pseudogene(GUCY2GP)	Homo sapiens	
LOC100131635	hCG1645011-like(LOC100131635)	Homo sapiens	
LOC100130298	hCG1816373-like(LOC100130298)	Homo sapiens	
HAVCR1P1	hepatitis A virus cellular receptor 1 pseudogene 1(HAVCR1P1)	Homo sapiens	
HPVC1	human papillomavirus (type 18) E5 central sequence-like 1(HPVC1)	Homo sapiens	
KRTAP24-1	keratin associated protein 24-1(KRTAP24-1)	Homo sapiens	
KC6	keratoconus gene 6(KC6)	Homo sapiens	
LENEP	lens epithelial protein(LENEP)	Homo sapiens	
LINC01004	long intergenic non-protein coding RNA 1004(LINC01004)	Homo sapiens	
LINC01014	long intergenic non-protein coding RNA 1014(LINC01014)	Homo sapiens	
LINC01015	long intergenic non-protein coding RNA 1015(LINC01015)	Homo sapiens	
LINC01020	long intergenic non-protein coding RNA 1020(LINC01020)	Homo sapiens	
LINC01060	long intergenic non-protein coding RNA 1060(LINC01060)	Homo sapiens	
LINC01061	long intergenic non-protein coding RNA 1061(LINC01061)	Homo sapiens	
LINC01088	long intergenic non-protein coding RNA 1088(LINC01088)	Homo sapiens	
LINC01091	long intergenic non-protein coding RNA 1091(LINC01091)	Homo sapiens	
LINC01096	long intergenic non-protein coding RNA 1096(LINC01096)	Homo sapiens	
LINC01097	long intergenic non-protein coding RNA 1097(LINC01097)	Homo sapiens	
LINC01098	long intergenic non-protein coding RNA 1098(LINC01098)	Homo sapiens	
LINC01111	long intergenic non-protein coding RNA 1111(LINC01111)	Homo sapiens	
LINC01122	long intergenic non-protein coding RNA 1122(LINC01122)	Homo sapiens	
LINC01139	long intergenic non-protein coding RNA 1139(LINC01139)	Homo sapiens	
LINC01146	long intergenic non-protein coding RNA 1146(LINC01146)	Homo sapiens	
LINC01152	long intergenic non-protein coding RNA 1152(LINC01152)	Homo sapiens	
LINC01160	long intergenic non-protein coding RNA 1160(LINC01160)	Homo sapiens	
LINC01194	long intergenic non-protein coding RNA 1194(LINC01194)	Homo sapiens	
LINC01197	long intergenic non-protein coding RNA 1197(LINC01197)	Homo sapiens	
LINC01208	long intergenic non-protein coding RNA 1208(LINC01208)	Homo sapiens	
LINC00158	long intergenic non-protein coding RNA 158(LINC00158)	Homo sapiens	
LINC00189	long intergenic non-protein coding RNA 189(LINC00189)	Homo sapiens	
LINC00276	long intergenic non-protein coding RNA 276(LINC00276)	Homo sapiens	
LINC00282	long intergenic non-protein coding RNA 282(LINC00282)	Homo sapiens	
LINC00308	long intergenic non-protein coding RNA 308(LINC00308)	Homo sapiens	
LINC00317	long intergenic non-protein coding RNA 317(LINC00317)	Homo sapiens	
LINC00320	long intergenic non-protein coding RNA 320(LINC00320)	Homo sapiens	
LINC00333	long intergenic non-protein coding RNA 333(LINC00333)	Homo sapiens	
LINC00348	long intergenic non-protein coding RNA 348(LINC00348)	Homo sapiens	
LINC00353	long intergenic non-protein coding RNA 353(LINC00353)	Homo sapiens	
LINC00366	long intergenic non-protein coding RNA 366(LINC00366)	Homo sapiens	
LINC00378	long intergenic non-protein coding RNA 378(LINC00378)	Homo sapiens	
LINC00395	long intergenic non-protein coding RNA 395(LINC00395)	Homo sapiens	
LINC00410	long intergenic non-protein coding RNA 410(LINC00410)	Homo sapiens	
LINC00433	long intergenic non-protein coding RNA 433(LINC00433)	Homo sapiens	
LINC00443	long intergenic non-protein coding RNA 443(LINC00443)	Homo sapiens	
LINC00460	long intergenic non-protein coding RNA 460(LINC00460)	Homo sapiens	
LINC00473	long intergenic non-protein coding RNA 473(LINC00473)	Homo sapiens	
LINC00474	long intergenic non-protein coding RNA 474(LINC00474)	Homo sapiens	
LINC00488	long intergenic non-protein coding RNA 488(LINC00488)	Homo sapiens	
LINC00499	long intergenic non-protein coding RNA 499(LINC00499)	Homo sapiens	
LINC00506	long intergenic non-protein coding RNA 506(LINC00506)	Homo sapiens	
LINC00507	long intergenic non-protein coding RNA 507(LINC00507)	Homo sapiens	
LINC00511	long intergenic non-protein coding RNA 511(LINC00511)	Homo sapiens	
LINC00520	long intergenic non-protein coding RNA 520(LINC00520)	Homo sapiens	
LINC00534	long intergenic non-protein coding RNA 534(LINC00534)	Homo sapiens	
LINC00535	long intergenic non-protein coding RNA 535(LINC00535)	Homo sapiens	
LINC00536	long intergenic non-protein coding RNA 536(LINC00536)	Homo sapiens	
LINC00540	long intergenic non-protein coding RNA 540(LINC00540)	Homo sapiens	
LINC00544	long intergenic non-protein coding RNA 544(LINC00544)	Homo sapiens	
LINC00551	long intergenic non-protein coding RNA 551(LINC00551)	Homo sapiens	
LINC00558	long intergenic non-protein coding RNA 558(LINC00558)	Homo sapiens	
LINC00581	long intergenic non-protein coding RNA 581(LINC00581)	Homo sapiens	
LINC00587	long intergenic non-protein coding RNA 587(LINC00587)	Homo sapiens	
LINC00588	long intergenic non-protein coding RNA 588(LINC00588)	Homo sapiens	
LINC00592	long intergenic non-protein coding RNA 592(LINC00592)	Homo sapiens	
LINC00618	long intergenic non-protein coding RNA 618(LINC00618)	Homo sapiens	
LINC00622	long intergenic non-protein coding RNA 622(LINC00622)	Homo sapiens	
LINC00636	long intergenic non-protein coding RNA 636(LINC00636)	Homo sapiens	
LINC00639	long intergenic non-protein coding RNA 639(LINC00639)	Homo sapiens	
LINC00649	long intergenic non-protein coding RNA 649(LINC00649)	Homo sapiens	
LINC00652	long intergenic non-protein coding RNA 652(LINC00652)	Homo sapiens	
LINC00656	long intergenic non-protein coding RNA 656(LINC00656)	Homo sapiens	
LINC00678	long intergenic non-protein coding RNA 678(LINC00678)	Homo sapiens	
LINC00693	long intergenic non-protein coding RNA 693(LINC00693)	Homo sapiens	
LINC00706	long intergenic non-protein coding RNA 706(LINC00706)	Homo sapiens	
LINC00707	long intergenic non-protein coding RNA 707(LINC00707)	Homo sapiens	
LINC00708	long intergenic non-protein coding RNA 708(LINC00708)	Homo sapiens	
LINC00709	long intergenic non-protein coding RNA 709(LINC00709)	Homo sapiens	
LINC00842	long intergenic non-protein coding RNA 842(LINC00842)	Homo sapiens	
LINC00861	long intergenic non-protein coding RNA 861(LINC00861)	Homo sapiens	
LINC00871	long intergenic non-protein coding RNA 871(LINC00871)	Homo sapiens	
LINC00877	long intergenic non-protein coding RNA 877(LINC00877)	Homo sapiens	
LINC00879	long intergenic non-protein coding RNA 879(LINC00879)	Homo sapiens	
LINC00882	long intergenic non-protein coding RNA 882(LINC00882)	Homo sapiens	
LINC00907	long intergenic non-protein coding RNA 907(LINC00907)	Homo sapiens	
LINC00911	long intergenic non-protein coding RNA 911(LINC00911)	Homo sapiens	
LINC00923	long intergenic non-protein coding RNA 923(LINC00923)	Homo sapiens	
LINC00943	long intergenic non-protein coding RNA 943(LINC00943)	Homo sapiens	
LINC00964	long intergenic non-protein coding RNA 964(LINC00964)	Homo sapiens	
LINC00971	long intergenic non-protein coding RNA 971(LINC00971)	Homo sapiens	
LINC00977	long intergenic non-protein coding RNA 977(LINC00977)	Homo sapiens	
LINC00993	long intergenic non-protein coding RNA 993(LINC00993)	Homo sapiens	
LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript(LINC-PINT)	Homo sapiens	
LUCAT1	lung cancer associated transcript 1 (non-protein coding)(LUCAT1)	Homo sapiens	
LOC654342	lymphocyte-specific protein 1 pseudogene(LOC654342)	Homo sapiens	
MIR101-1	microRNA 101-1(MIR101-1)	Homo sapiens	
MIR1200	microRNA 1200(MIR1200)	Homo sapiens	
MIR1204	microRNA 1204(MIR1204)	Homo sapiens	
MIR1205	microRNA 1205(MIR1205)	Homo sapiens	
MIR1208	microRNA 1208(MIR1208)	Homo sapiens	
MIR1252	microRNA 1252(MIR1252)	Homo sapiens	
MIR1258	microRNA 1258(MIR1258)	Homo sapiens	
MIR17	microRNA 17(MIR17)	Homo sapiens	
MIR1827	microRNA 1827(MIR1827)	Homo sapiens	
MIR184	microRNA 184(MIR184)	Homo sapiens	
MIR19B1	microRNA 19b-1(MIR19B1)	Homo sapiens	
MIR2054	microRNA 2054(MIR2054)	Homo sapiens	
MIR206	microRNA 206(MIR206)	Homo sapiens	
MIR20A	microRNA 20a(MIR20A)	Homo sapiens	
MIR2116	microRNA 2116(MIR2116)	Homo sapiens	
MIR216A	microRNA 216a(MIR216A)	Homo sapiens	
MIR216B	microRNA 216b(MIR216B)	Homo sapiens	
MIR217	microRNA 217(MIR217)	Homo sapiens	
MIR2682	microRNA 2682(MIR2682)	Homo sapiens	
MIR3064	microRNA 3064(MIR3064)	Homo sapiens	
MIR30C2	microRNA 30c-2(MIR30C2)	Homo sapiens	
MIR3125	microRNA 3125(MIR3125)	Homo sapiens	
MIR3128	microRNA 3128(MIR3128)	Homo sapiens	
MIR3136	microRNA 3136(MIR3136)	Homo sapiens	
MIR3138	microRNA 3138(MIR3138)	Homo sapiens	
MIR3153	microRNA 3153(MIR3153)	Homo sapiens	
MIR3156-1	microRNA 3156-1(MIR3156-1)	Homo sapiens	
MIR3169	microRNA 3169(MIR3169)	Homo sapiens	
MIR3180-4	microRNA 3180-4(MIR3180-4)	Homo sapiens	
MIR3607	microRNA 3607(MIR3607)	Homo sapiens	
MIR3660	microRNA 3660(MIR3660)	Homo sapiens	
MIR3671	microRNA 3671(MIR3671)	Homo sapiens	
MIR378D2	microRNA 378d-2(MIR378D2)	Homo sapiens	
MIR378J	microRNA 378j(MIR378J)	Homo sapiens	
MIR3919	microRNA 3919(MIR3919)	Homo sapiens	
MIR3924	microRNA 3924(MIR3924)	Homo sapiens	
MIR3935	microRNA 3935(MIR3935)	Homo sapiens	
MIR3942	microRNA 3942(MIR3942)	Homo sapiens	
MIR3975	microRNA 3975(MIR3975)	Homo sapiens	
MIR4260	microRNA 4260(MIR4260)	Homo sapiens	
MIR4264	microRNA 4264(MIR4264)	Homo sapiens	
MIR4280	microRNA 4280(MIR4280)	Homo sapiens	
MIR4282	microRNA 4282(MIR4282)	Homo sapiens	
MIR4288	microRNA 4288(MIR4288)	Homo sapiens	
MIR4294	microRNA 4294(MIR4294)	Homo sapiens	
MIR4302	microRNA 4302(MIR4302)	Homo sapiens	
MIR4303	microRNA 4303(MIR4303)	Homo sapiens	
MIR4325	microRNA 4325(MIR4325)	Homo sapiens	
MIR4422	microRNA 4422(MIR4422)	Homo sapiens	
MIR4423	microRNA 4423(MIR4423)	Homo sapiens	
MIR4432	microRNA 4432(MIR4432)	Homo sapiens	
MIR4439	microRNA 4439(MIR4439)	Homo sapiens	
MIR4484	microRNA 4484(MIR4484)	Homo sapiens	
MIR4498	microRNA 4498(MIR4498)	Homo sapiens	
MIR4500	microRNA 4500(MIR4500)	Homo sapiens	
MIR4642	microRNA 4642(MIR4642)	Homo sapiens	
MIR4652	microRNA 4652(MIR4652)	Homo sapiens	
MIR4660	microRNA 4660(MIR4660)	Homo sapiens	
MIR4661	microRNA 4661(MIR4661)	Homo sapiens	
MIR4680	microRNA 4680(MIR4680)	Homo sapiens	
MIR4713	microRNA 4713(MIR4713)	Homo sapiens	
MIR4759	microRNA 4759(MIR4759)	Homo sapiens	
MIR4770	microRNA 4770(MIR4770)	Homo sapiens	
MIR4775	microRNA 4775(MIR4775)	Homo sapiens	
MIR4776-1	microRNA 4776-1(MIR4776-1)	Homo sapiens	
MIR4776-2	microRNA 4776-2(MIR4776-2)	Homo sapiens	
MIR4791	microRNA 4791(MIR4791)	Homo sapiens	
MIR4799	microRNA 4799(MIR4799)	Homo sapiens	
MIR4801	microRNA 4801(MIR4801)	Homo sapiens	
MIR5047	microRNA 5047(MIR5047)	Homo sapiens	
MIR5091	microRNA 5091(MIR5091)	Homo sapiens	
MIR5095	microRNA 5095(MIR5095)	Homo sapiens	
MIR548A3	microRNA 548a-3(MIR548A3)	Homo sapiens	
MIR548AA2	microRNA 548aa-2(MIR548AA2)	Homo sapiens	
MIR548AI	microRNA 548ai(MIR548AI)	Homo sapiens	
MIR548AJ2	microRNA 548aj-2(MIR548AJ2)	Homo sapiens	
MIR548AL	microRNA 548al(MIR548AL)	Homo sapiens	
MIR548AN	microRNA 548an(MIR548AN)	Homo sapiens	
MIR548AP	microRNA 548ap(MIR548AP)	Homo sapiens	
MIR548AS	microRNA 548as(MIR548AS)	Homo sapiens	
MIR548AZ	microRNA 548az(MIR548AZ)	Homo sapiens	
MIR548D2	microRNA 548d-2(MIR548D2)	Homo sapiens	
